property_name,tenant_name,rent_amount,lease_start,_3leases_rolling_average
Edwards-Stewart,"Angela Garcia",15166,2023-01-01,15893
Edwards-Stewart,"Bryan Spears DVM",12634,2024-07-30,16649
"Elliott Group","Eric Chavez",23279,2019-11-19,23279
"Elliott Group","Justin Wright",17276,2020-08-26,20278
"Elliott Group","Allison Martinez",44178,2021-08-14,28244
"Elliott Group","Jacob Vargas",4165,2024-03-02,21873
"Ellis LLC","Robert Jones",37641,2021-06-24,37641
"Ellis LLC","Chad Levy",35127,2021-08-21,36384
"Ellis LLC","Robert Mayo",49506,2021-10-09,40758
"Ellis LLC","Lee Cohen",39027,2021-12-05,41220
"Ellis LLC","Allen Williams",24993,2024-04-22,37842
"Ellis LLC","Andrew Sims",48845,2024-08-26,37622
Ellis-Barker,"Michael Smith",48985,2020-10-26,48985
Ellis-Barker,"Shane Johnson",18032,2022-09-03,33509
Ellis-Barker,"Justin Watts",18467,2022-12-24,28495
Ellis-Barker,"Heather Tanner",20859,2023-08-18,19119
"Estes and Sons","Molly Reyes",4974,2020-01-15,4974
"Estes and Sons","Sandra Smith",37913,2020-10-31,21444
"Estes and Sons","Chelsea Mclaughlin",49042,2021-04-28,30643
"Estes and Sons","Amanda Marshall",14231,2023-02-19,33729
"Estes and Sons","William Maxwell",39215,2024-04-01,34163
"Estrada PLC","Angela Hutchinson",46273,2022-08-28,46273
"Evans LLC","Tyler Myers",16450,2020-10-23,16450
"Evans LLC","Adam Johnson",18324,2021-01-23,17387
Evans-Marshall,"Tracey Miller",9791,2020-03-16,9791
Evans-Marshall,"Aaron Thornton",15972,2021-06-06,12882
Evans-Marshall,"Kimberly Garcia",34461,2022-02-28,20075
Evans-Marshall,"Dale Price",4400,2022-09-29,18278
Evans-Marshall,"Maria Bailey",44744,2023-09-25,27868
"Evans, Hardin and Rodriguez","Jason Russell",23121,2020-07-14,23121
"Evans, Hardin and Rodriguez","Edward Johnson",42291,2020-11-27,32706
"Evans, Hardin and Rodriguez","Jason Anderson",11094,2021-05-15,25502
"Evans, Hardin and Rodriguez","Rebecca Campbell",47338,2021-08-19,33574
"Farrell, Schultz and Manning","Tracy Rogers",15634,2021-06-26,15634
"Farrell, Schultz and Manning","Sydney Hodges",11275,2024-02-26,13455
"Faulkner LLC","Melinda Murphy",7136,2020-03-14,7136
"Faulkner LLC","Louis Hudson II",17315,2022-02-15,12226
"Faulkner LLC","Jason Lawson",43069,2024-06-25,22507
Fernandez-Peterson,"Daniel Parker",10706,2020-01-18,10706
Fernandez-Peterson,"Jocelyn Clark",33693,2022-08-15,22200
Fernandez-Peterson,"Douglas Levine",13978,2023-03-06,19459
"Fletcher Ltd","Mary Mcdowell",45681,2021-01-16,45681
"Fletcher Ltd","Antonio Smith",24824,2021-12-17,35253
"Fletcher Ltd","Christine White",27597,2022-01-22,32701
"Fletcher Ltd","Michael Mclaughlin",9649,2023-04-17,20690
"Fletcher Ltd","Debbie Snyder",6517,2024-07-17,14588
"Flores Ltd","Patricia Marquez",3195,2020-05-09,3195
Ford-Johnson,"Patrick Malone",31494,2020-01-27,31494
Ford-Johnson,"Debra Reid",10361,2020-02-26,20928
Ford-Johnson,"Karen Klein",25860,2022-01-17,22572
Ford-Johnson,"Kenneth Logan",32426,2023-03-11,22882
"Francis, Willis and Davis","Dawn Acevedo",35706,2020-06-14,35706
"Francis, Willis and Davis","Mary Gonzalez",37512,2020-06-29,36609
"Francis, Willis and Davis","Richard Wood",24763,2021-02-27,32660
Frederick-Wall,"Tiffany Rivera",48096,2024-02-20,48096
"Freeman Group","Melinda Martinez",31477,2020-01-28,31477
"Freeman Group","Stephanie Wood",34930,2020-03-23,33204
"Freeman Group","Cody Hudson MD",15633,2020-05-28,27347
"Freeman Group","Kathleen Taylor",9887,2024-02-09,20150
"Freeman Group","Kelsey Martinez",12905,2024-03-03,12808
Freeman-Martinez,"Patrick Vaughn",14745,2020-05-18,14745
Freeman-Martinez,"Lauren George",44018,2020-05-20,29382
Freeman-Martinez,"Eugene Hughes",33374,2020-09-25,30712
Freeman-Martinez,"Sara Best",28160,2020-10-20,35184
Freeman-Martinez,"Erin Armstrong",14115,2023-09-24,25216
"Frey and Sons","Francisco Davenport",24257,2019-11-26,24257
"Frey and Sons","Anthony Li",32207,2020-12-01,28232
"Frey and Sons","Karen Hensley",9401,2022-05-20,21955
"Frey and Sons","Alexander Owens",19389,2023-04-14,20332
"Frey and Sons","Theresa Schneider",40679,2024-09-10,23156
"Fuller Group","Amy Smith",41787,2020-04-10,41787
"Fuller Group","Alexandra Mcdonald",30383,2020-05-12,36085
"Fuller Group","Jason Lynch",32018,2021-03-09,34729
"Fuller Group","Andrew Ramos",47674,2021-05-11,36692
"Fuller Group","Vincent Murphy",25821,2024-04-28,35171
"Fuller Group","Brittany Frey",20907,2024-05-10,31467
"Fuller Group","Christopher Jackson",36789,2024-05-20,27839
"Gallagher PLC","Shannon Brown",8721,2020-04-05,8721
"Gallagher PLC","Lauren Obrien",31779,2020-09-13,20250
"Gallagher PLC","Luke Barnett",5754,2021-06-01,15418
"Gallagher PLC","Tyler Morales",38810,2023-04-16,25448
"Gallagher PLC","Susan Lee",2446,2023-07-07,15670
"Gallegos and Sons","John King",30537,2023-01-19,30537
"Gallegos and Sons","Raymond Huffman",45319,2023-05-26,37928
"Gallegos and Sons","Jacqueline Robertson DDS",22947,2023-09-09,32934
"Gallegos and Sons","Melinda Peterson",11203,2024-07-10,26490
"Garcia and Sons","Nicholas Brown",37150,2023-05-26,37150
"Garcia and Sons","Jennifer Fields",9796,2024-08-29,23473
"Garcia Inc","John Goodman",46011,2020-02-21,46011
"Garcia Inc","Brenda Rhodes",3929,2020-04-13,24970
"Garcia Inc","Cheryl Barber",6974,2022-03-17,18971
"Garcia Ltd","Christopher Sheppard",33460,2020-09-03,33460
"Garcia Ltd","Melissa Manning",32598,2021-07-05,33029
"Garcia Ltd","Nathaniel Gilmore",47793,2022-11-08,37950
"Garcia Ltd","Mark Collins",20825,2023-11-27,33739
Gardner-Young,"Dylan Miller",49599,2021-02-12,49599
Gardner-Young,"Zachary Jordan",35882,2022-05-26,42741
Garrett-Edwards,"Linda Gonzalez",41247,2019-12-18,41247
Garrett-Edwards,"Michael Rogers",39438,2020-01-21,40343
Garrett-Edwards,"Tracy Rivera",44246,2022-07-26,41644
Garrett-Edwards,"Elizabeth Garcia",13175,2023-10-22,32286
Garrett-Edwards,"David Kaufman",24720,2023-12-28,27380
Garrett-Page,"Donna Williams",48027,2021-07-11,48027
Garrett-Page,"Joseph Smith",28456,2022-09-24,38242
Garrett-Page,"Samuel Hammond",27805,2023-11-09,34763
"Gentry Inc","Gabrielle Morris",11523,2019-11-07,11523
"Gentry Inc","Tanya Perez",25766,2021-01-29,18645
"Gentry Inc","Bradley Hopkins",43432,2021-07-06,26907
"Gentry Inc","Melanie Murillo",23976,2021-07-25,31058
"Gentry Inc","Lauren Walter",15441,2023-08-02,27616
"George, Callahan and Ochoa","Elizabeth Dunlap",24438,2019-12-18,24438
"George, Callahan and Ochoa","Brenda Haley",27109,2020-11-23,25774
"George, Callahan and Ochoa","Jonathan Wilson",17227,2022-01-17,22925
"George, Callahan and Ochoa","Dr. Gregory Warner",27879,2022-06-12,24072
"George, Callahan and Ochoa","Kevin Valdez",27563,2023-08-01,24223
"George, Callahan and Ochoa","Stacy Harris MD",31260,2024-08-20,28901
"George, Reed and Frazier","Jennifer Gibson",36188,2020-08-14,36188
"George, Reed and Frazier","Ronald Becker",47520,2020-12-28,41854
"George, Reed and Frazier","Angela Coleman",11710,2021-02-20,31806
"George, Reed and Frazier","Jeremiah Patel",43395,2022-03-26,34208
"George, Reed and Frazier","Makayla Blair",40547,2023-04-24,31884
"George, Reed and Frazier","Erin Collins",4800,2023-06-16,29581
"Gibson, Martin and Russell","James Gordon",41265,2020-04-02,41265
"Gibson, Martin and Russell","Mary Chambers",19331,2020-04-21,30298
"Gibson, Martin and Russell","Katrina Copeland",25728,2022-04-09,28775
"Gilbert and Sons","Cindy Manning",35464,2022-05-12,35464
"Gilbert and Sons","Brandy Casey",36578,2023-05-09,36021
"Gilbert and Sons","Nicole Soto",11691,2024-07-11,27911
"Gilmore, Frazier and Bright","Catherine Butler",19683,2020-12-05,19683
"Gilmore, Frazier and Bright","Judy Lopez",35534,2022-05-31,27609
"Gilmore, Frazier and Bright","Patrick Morse",39085,2022-09-29,31434
"Gilmore, Frazier and Bright","Nathaniel Mclaughlin",6473,2022-12-28,27031
"Gomez LLC","Jonathan Velasquez",15350,2020-05-29,15350
"Gomez LLC","Luke Smith MD",4035,2020-10-15,9693
"Gomez LLC","Anthony Rose",9917,2020-12-02,9767
"Gomez LLC","Scott Garcia",20467,2022-03-03,11473
"Gomez LLC","Sean Diaz",11620,2022-12-07,14001
"Gomez LLC","Heather Vargas",47069,2024-03-16,26385
"Gonzalez Ltd","Michael Villa",7175,2020-06-17,7175
"Gonzalez Ltd","Angela Shelton",46520,2020-10-25,26848
"Gonzalez Ltd","John Thompson",39849,2021-06-01,31181
"Gonzalez Ltd","Isabella Brown",15519,2022-06-12,33963
"Gonzalez Ltd","Dawn Mitchell",41813,2023-05-12,32394
"Gonzalez Ltd","Thomas Jones",11025,2024-02-10,22786
Goodwin-Bishop,"Richard Payne",42270,2019-11-27,42270
Goodwin-Bishop,"Pamela Hopkins",16027,2020-01-04,29149
Goodwin-Bishop,"Micheal Deleon",39407,2020-04-21,32568
Gregory-Pena,"Stephanie Beard",6762,2021-02-08,6762
Gregory-Pena,"Kirk Edwards",8869,2022-07-05,7816
Gregory-Pena,"Amanda Moyer",31423,2022-10-15,15685
Gregory-Pena,"William Bell",48108,2023-04-10,29467
Gregory-Pena,"Taylor Bentley",39245,2024-06-17,39592
Gregory-Pena,"Christopher Spencer",12775,2024-10-08,33376
"Gregory, Hensley and Ross","William Byrd",25992,2021-04-06,25992
"Gregory, Hensley and Ross","Joseph Cobb",34639,2022-10-10,30316
"Gregory, Hensley and Ross","David Richards",49398,2024-07-22,36676
Griffin-Miller,"Margaret Brooks",34160,2019-12-22,34160
Griffin-Miller,"Stephen Robinson",44755,2023-10-09,39458
Griffin-Velez,"Robert West",40440,2021-04-17,40440
Griffin-Velez,"Ann Roberts",26055,2022-10-30,33248
"Guerrero PLC","Sheila White",13324,2023-04-26,13324
"Guerrero PLC","James Ryan",11662,2023-07-27,12493
"Guerrero, Roberts and Taylor","Robert Anderson",40306,2019-12-29,40306
"Guerrero, Roberts and Taylor","Robert Quinn",18322,2020-10-02,29314
"Guerrero, Roberts and Taylor","Ronald Faulkner",35019,2020-10-02,31216
"Guerrero, Roberts and Taylor","Michael Lee",23601,2023-11-14,25647
"Gutierrez, Dunn and Mitchell","Mr. Michael Wade",45119,2021-03-06,45119
"Gutierrez, Dunn and Mitchell","Patrick Maxwell",17917,2022-09-03,31518
"Gutierrez, Dunn and Mitchell","John Reed",18440,2023-05-10,27159
"Gutierrez, Dunn and Mitchell","Ryan Austin",9085,2024-03-11,15147
"Hall Inc","Bryan Lucas",40069,2021-03-08,40069
"Hall Inc","Mario Thompson",15448,2023-11-11,27759
Hall-Burns,"Brian Smith",12113,2020-05-11,12113
Hall-Burns,"Matthew Smith",21236,2020-05-16,16675
Hall-Burns,"Lisa Lyons",44604,2021-07-07,25984
Hall-Burns,"Martin Pineda",48002,2021-09-14,37947
Hall-Burns,"Tina Williams",44839,2022-05-12,45815
Hall-Burns,"Nicholas Douglas",19073,2024-05-02,37305
"Hall, Gomez and Diaz","Terri Weaver",32579,2019-11-29,32579
"Hall, Gomez and Diaz","Timothy Bentley",23038,2020-07-14,27809
"Hall, Gomez and Diaz","Jennifer Hancock",7907,2022-03-13,21175
"Hall, Gomez and Diaz","Tracy Adams",4835,2022-04-02,11927
"Hall, Gomez and Diaz","Jennifer Stephens",4307,2024-01-25,5683
"Hall, Gomez and Diaz","Elizabeth Fischer",12762,2024-06-06,7301
"Hancock, Pearson and Murphy","Jessica Perez",26956,2021-07-16,26956
"Hancock, Pearson and Murphy","Gabriel Mcmillan",13835,2021-08-21,20396
"Hancock, Pearson and Murphy","Monica Campbell",43570,2023-03-01,28120
"Hancock, Pearson and Murphy","Donna Smith",16649,2023-05-07,24685
"Hancock, Pearson and Murphy","Olivia Jackson",31476,2024-01-15,30565
"Harris LLC","Alexis Jackson",21978,2021-11-06,21978
"Harris LLC","Ronald Bryant",17800,2021-12-17,19889
"Harris LLC","James Mcclain",31000,2022-04-09,23593
Harris-Mullins,"Daniel Carter",12770,2022-07-04,12770
Harris-Mullins,"Ashley Mitchell",13766,2022-09-14,13268
Harris-Mullins,"Elizabeth Harvey",45987,2022-12-24,24174
"Harrison PLC","Russell Ponce",15864,2021-10-05,15864
"Harrison PLC","Lauren Morrow",34981,2022-07-15,25423
"Harrison PLC","Shawn Jones",40581,2024-07-12,30475
Harvey-Cunningham,"William Chen",41308,2022-08-19,41308
Harvey-Cunningham,"Mrs. Samantha Allen",45867,2024-04-23,43588
Harvey-Scott,"Emily Elliott",41083,2020-10-22,41083
Hawkins-Scott,"Nicole Collier",42000,2020-09-23,42000
Hawkins-Scott,"Dr. Anthony Miller",39814,2020-12-04,40907
"Henderson, Townsend and Gordon","Jared Webb",1693,2019-11-16,1693
"Henderson, Townsend and Gordon","Wendy Gibbs",4678,2020-08-28,3186
"Henderson, Townsend and Gordon","Mark Montoya",10672,2020-10-26,5681
"Henderson, Townsend and Gordon","Mark Thomas",31750,2020-12-21,15700
"Henderson, Townsend and Gordon","Anthony Castaneda",43341,2023-03-06,28588
"Hendricks Group","Gabriel Anderson",14509,2020-02-24,14509
"Hendricks Group","Shelby Wells",16128,2020-08-06,15319
"Hendricks Group","Jodi Wilson",25119,2021-09-10,18585
"Hendricks Group","Max Mcdonald",20614,2022-08-14,20620
"Hendricks Group","Michael Gonzalez",23687,2023-08-05,23140
"Hendricks Group","Nicole White",33098,2024-01-20,25800
"Hendricks Group","Joshua Sanford",38030,2024-02-22,31605
"Hendricks Group","Stephanie Conley",24674,2024-03-25,31934
"Hendricks Group","Barry Sanchez",8154,2024-04-15,23619
Hernandez-Ballard,"James Glass",26063,2020-12-01,26063
Hernandez-Ballard,"Mark Stevens",25006,2021-09-29,25535
Hernandez-Ballard,"Miranda Washington",47763,2021-12-15,32944
Hernandez-Ballard,"Ryan Glover",38023,2022-07-22,36931
Hernandez-Ballard,"John Larson",40974,2022-10-19,42253
Hernandez-Ballard,"Sean Williams",15101,2023-04-09,31366
Hernandez-Ballard,"Nicholas Roberts",30017,2023-11-01,28697
Hernandez-Hebert,"Michael Medina DDS",16067,2020-04-01,16067
Hernandez-Hebert,"Jessica Gray",46581,2022-06-21,31324
Hernandez-Hebert,"Joseph Bell",42186,2023-09-25,34945
Hernandez-Hebert,"Misty Simmons",41445,2024-10-18,43404
Hernandez-Sanders,"Brianna Perez",22749,2021-03-16,22749
Hernandez-Sanders,"Gina Cruz",22227,2021-06-26,22488
Hernandez-Sanders,"Jeremy White",34980,2022-02-24,26652
"Hernandez, Jackson and Nguyen","James Hamilton",18802,2020-02-14,18802
"Hernandez, Jackson and Nguyen","Jessica Hartman",38258,2020-05-25,28530
"Hernandez, Jackson and Nguyen","Lauren Carter",33179,2023-05-23,30080
"Hernandez, Jackson and Nguyen","Alejandro Dean",8396,2023-10-10,26611
"Herrera Group","Jason Potter",49747,2021-08-13,49747
"Herrera Group","Julie Brown",46099,2023-12-19,47923
"Herrera Group","Mr. Keith Pittman",40807,2024-03-09,45551
"Herrera Group","Megan Baker",23957,2024-05-20,36954
"Herrera Ltd","Ryan Kelly",18450,2021-12-05,18450
"Herrera Ltd","Ann Zamora",22452,2024-01-26,20451
"Herrera Ltd","Jaime Brown",46264,2024-10-09,29055
"Herrera PLC","Kevin Mitchell",6263,2019-11-07,6263
"Herrera PLC","David Hernandez",45234,2024-10-21,25749
"Hester PLC","Kristina Fisher",5544,2020-03-21,5544
"Hester PLC","Cassandra Mccarthy",32812,2022-11-15,19178
"Hester PLC","Eric Garrett",1717,2023-05-30,13358
"Hickman and Sons","Colin Yang",23313,2023-03-08,23313
"Hickman and Sons","Oscar Fox",28933,2023-07-29,26123
"Higgins Group","Amanda Clay",24662,2020-10-17,24662
"Higgins Group","Kelsey Wright",17982,2021-06-19,21322
"Higgins Group","Brenda Vang",9894,2022-03-29,17513
"Higgins Group","Matthew Wallace",47113,2023-11-03,24996
"Higgins Group","Angela Sanchez",47695,2024-02-10,34901
"Hill, Gonzales and Hansen","Patricia Cook",33973,2020-12-07,33973
"Hill, Gonzales and Hansen","Alicia Washington",37182,2022-12-04,35578
"Hill, Gonzales and Hansen","Deanna Dunn",48860,2023-06-10,40005
"Hill, Gonzales and Hansen","Samantha Roberson",1412,2023-11-09,29151
"Hill, Perkins and Fleming","Aaron Skinner",31755,2020-01-16,31755
"Hill, Perkins and Fleming","Rhonda Bailey",39080,2020-02-28,35418
"Hill, Perkins and Fleming","Kelsey Townsend",18493,2020-10-22,29776
"Hill, Perkins and Fleming","Nicholas Walsh",33687,2021-03-09,30420
"Hill, Perkins and Fleming","Sara Grant",45384,2024-08-19,32521
"Hill, Perkins and Fleming","Michael Rodriguez",4737,2024-08-30,27936
"Hodge, Mclaughlin and Jones","Timothy Snow",31151,2020-02-04,31151
"Hodge, Mclaughlin and Jones","John Hawkins",40345,2020-04-04,35748
"Hodge, Mclaughlin and Jones","Reginald James",6549,2023-08-28,26015
"Hodge, Mclaughlin and Jones","Manuel Leblanc",22577,2023-12-07,23157
"Hoffman, Hensley and Martinez","Robert Doyle",30590,2020-06-13,30590
"Hoffman, Hensley and Martinez","Roy Johnston MD",44191,2021-05-18,37391
"Hoffman, Hensley and Martinez","Joshua Nelson",19521,2022-03-02,31434
"Hoffman, Hensley and Martinez","Emily Scott",10621,2024-09-15,24778
"Hogan Group","Benjamin Jordan",42354,2019-12-05,42354
"Hogan Group","Eric Ortega",2682,2022-01-18,22518
"Hogan Group","Brandon Sullivan",43093,2022-02-11,29376
"Hogan Group","Sharon Mckay",9422,2023-03-11,18399
"Hogan Group","Michael Moore",14582,2023-03-16,22366
"Hogan Group","Lindsey White",37099,2023-07-22,20368
"Hogan Group","Kelly Sutton",23310,2024-02-10,24997
"Hogan Group","Faith Martinez",15373,2024-02-27,25261
"Hogan Group","Michael Harper",47476,2024-08-06,28720
Holmes-Barrett,"Diane Edwards",40347,2019-12-18,40347
Holmes-Barrett,"Joyce Walker",37818,2020-02-25,39083
Holmes-Barrett,"Michael Houston",36927,2020-12-17,38364
Holmes-Barrett,"Edward Williams",2701,2021-02-03,25815
Holmes-Barrett,"Matthew Scott",11764,2022-08-04,17131
"Horn, Reed and Miller","Regina Rodriguez",4185,2020-07-13,4185
"Horn, Reed and Miller","Rebecca Brown",15067,2021-09-19,9626
"Horn, Reed and Miller","Brianna White",40851,2021-11-05,20034
"Horn, Reed and Miller","David Mendoza",2761,2022-06-02,19560
"Horn, Reed and Miller","Anthony Rodriguez",26741,2023-07-04,23451
"Horton and Sons","Jasmine Taylor",25805,2020-08-30,25805
"Horton and Sons","Tara Bush",34718,2022-08-26,30262
"Horton and Sons","John Davis",24932,2023-02-09,28485
"Horton and Sons","Jeffrey Zimmerman",43357,2024-09-11,34336
"House PLC","Melinda Harris",27935,2020-08-23,27935
"House PLC","Sheryl Johnson",35122,2021-04-18,31529
"House PLC","Todd Morgan",34378,2023-04-12,32478
"Howard Inc","Joseph Pope",7731,2020-09-11,7731
"Howard Inc","Nancy Smith",20250,2020-10-27,13991
"Howard Inc","Katherine Jimenez",14963,2021-08-21,14315
"Howard Inc","Jessica King",39034,2022-05-15,24749
"Howard Inc","Chelsea Scott",5823,2022-09-07,19940
"Huang, Clark and Foster","Kenneth Spencer",30168,2020-08-13,30168
"Huang, Clark and Foster","Christopher Padilla",7312,2020-09-24,18740
"Huang, Clark and Foster","Eric Franklin",9780,2022-03-10,15753
"Huang, Clark and Foster","Shelby Martinez",2671,2023-07-07,6588
"Huang, Clark and Foster","Victoria Gallagher",21804,2024-02-27,11418
Huber-Johnson,"Calvin Gordon",42290,2022-09-19,42290
Huber-Johnson,"Amanda Barber",36307,2024-08-04,39299
"Hull, Perez and Rasmussen","Amber Snyder",16885,2022-03-15,16885
Hunt-Bender,"Terry Hill",23062,2020-10-25,23062
Hunt-Bender,"Valerie Price",9098,2021-12-15,16080
Hunt-Bender,"Stephanie Meyer",33784,2023-02-01,21981
"Hurst Inc","Susan Wise",26614,2021-01-15,26614
"Hurst Inc","Hannah Cain",6457,2021-03-19,16536
"Hurst Inc","Jason Richards",3749,2022-10-01,12273
"Hurst Inc","Melanie Weaver",28296,2023-10-08,12834
Ibarra-Booker,"Emma Garcia",33485,2022-11-15,33485
"Jackson Group","Jaime Baker",6625,2021-09-29,6625
"Jackson Group","Kayla Franklin",42073,2023-04-15,24349
"Jackson Group","Shawn Villa",14158,2023-08-01,20952
"Jackson Group","Mrs. Kelly Hill",42735,2024-02-24,32989
"Jackson Inc","Michael Phillips",26063,2020-11-26,26063
"Jackson Inc","Taylor Martin",31459,2021-04-01,28761
"Jackson Inc","Christine Wilson",12748,2021-08-12,23423
"Jackson Inc","Leslie Neal",14391,2022-08-29,19533
"Jackson Inc","Amanda Mitchell",21879,2023-02-11,16339
"Jackson, Davis and Gill","Carl Johnson",19936,2020-10-14,19936
"Jackson, Davis and Gill","Jessica Johns",33477,2021-01-14,26707
"Jackson, Davis and Gill","Alice Thomas",46679,2021-06-19,33364
"Jackson, Davis and Gill","Aaron Martin",24860,2022-08-25,35005
"Jackson, Davis and Gill","Thomas Adams",4935,2022-08-30,25491
"Jackson, Davis and Gill","William Ramirez",4540,2024-06-21,11445
"Jackson, Mckay and Sanchez","Garrett Barber",4956,2020-07-08,4956
"Jackson, Mckay and Sanchez","Robert Ramirez",14180,2020-07-26,9568
"Jackson, Mckay and Sanchez","George Bell",34559,2021-03-15,17898
"Jackson, Mckay and Sanchez","Matthew Pope",9805,2024-01-16,19515
"Jenkins, Jackson and Lopez","Jessica Robbins",8268,2020-04-11,8268
"Jenkins, Jackson and Lopez","Alicia Thompson",43375,2021-08-01,25822
"Jenkins, Jackson and Lopez","Anthony Lin",46984,2022-08-01,32876
"Jenkins, Jackson and Lopez","Anthony Bolton",24199,2022-12-13,38186
"Jenkins, Jackson and Lopez","William Adams DDS",22470,2023-01-29,31218
"Jenkins, Jackson and Lopez","Tanner Bell",23652,2024-07-26,23440
"Jenkins, Jackson and Lopez","Emma Martin",32419,2024-09-03,26180
"Jimenez, Wolfe and Mcfarland","David Dalton",20673,2020-09-05,20673
"Jimenez, Wolfe and Mcfarland","Kyle Trevino",35993,2021-09-09,28333
"Jimenez, Wolfe and Mcfarland","Kevin Pugh",28298,2023-03-04,28321
"Jimenez, Wolfe and Mcfarland","Lawrence Alvarado",33555,2023-10-26,32615
"Johnson and Sons","David Norris",43577,2021-12-08,43577
"Johnson and Sons","Jonathan Fowler",41170,2023-06-27,42374
Johnson-Beltran,"Brooke Graham",17419,2021-07-30,17419
Johnson-Beltran,"Tyler Ali",20778,2021-11-24,19099
Johnson-Beltran,"Jeffrey Chapman",36907,2022-01-09,25035
Johnson-Beltran,"John Brooks",31971,2022-08-16,29885
Johnson-Beltran,"Katherine Simmons",42883,2023-03-01,37254
Johnson-Beltran,"Jennifer Anthony",22668,2023-04-20,32507
Johnson-Beltran,"Christopher Kelley",13725,2023-11-18,26425
Johnson-Beltran,"Maria Roman",20378,2024-06-20,18924
Johnson-Mckinney,"David Berry",13834,2020-02-13,13834
Johnson-Mckinney,"Linda Washington",18758,2021-04-27,16296
Johnson-Mckinney,"John Stanley",34988,2021-05-25,22527
Johnson-Mckinney,"Lisa Adams",18156,2022-02-22,23967
Johnson-Mckinney,"Scott Chan",28047,2023-01-11,27064
Johnson-Mckinney,"Ashley Jackson",22670,2023-09-29,22958
Johnson-Mckinney,"Rhonda Grant",1367,2024-02-27,17361
Johnson-Reeves,"Margaret Alexander",45626,2019-10-30,45626
Johnson-Reeves,"Amy Sanders",23031,2019-12-13,34329
Johnson-Reeves,"Angela Peters",42548,2020-01-30,37068
Johnson-Reeves,"Anthony Herrera",10093,2021-07-12,25224
Johnson-Reeves,"Claudia Watson",30900,2021-12-20,27847
Johnson-Reeves,"Daniel Nichols",40248,2023-08-16,27080
Johnson-Reeves,"Samuel Reyes",10597,2023-11-30,27248
Johnson-Reeves,"Jeffrey Gibson",19976,2024-08-03,23607
"Johnson, Graham and Wagner","William Fry",14142,2021-02-13,14142
"Johnson, Graham and Wagner","Toni Becker",31919,2021-03-13,23031
"Johnson, Graham and Wagner","Terrance Anderson",25329,2022-03-23,23797
"Johnson, Graham and Wagner","Maxwell Parker",17613,2022-12-14,24954
"Johnson, Harrison and Mcgee","Jacqueline Wilcox",21488,2021-08-26,21488
"Johnson, Harrison and Mcgee","William Montoya",22610,2024-02-15,22049
"Johnson, Powell and Walker","Ashley Sanchez",27022,2020-05-19,27022
"Johnson, Powell and Walker","John Conrad",47124,2020-06-15,37073
"Johnson, Powell and Walker","Anna Mann",16653,2021-05-04,30266
"Johnson, Weaver and Torres","Andrew Charles",30811,2020-06-19,30811
"Johnson, Weaver and Torres","Miss Amanda Parker MD",49590,2021-04-13,40201
"Johnson, Weaver and Torres","Ronald Pacheco",41244,2021-06-10,40548
"Johnson, Weaver and Torres","Stephanie Adkins",11760,2022-07-18,34198
"Johnson, Weaver and Torres","Gerald Fischer",3758,2022-08-14,18921
"Johnson, Weaver and Torres","Susan Zuniga",3281,2023-02-19,6266
"Johnson, Weaver and Torres","Mrs. Kelly Frey",17733,2023-06-19,8257
"Johnson, Weaver and Torres","Eric Stone",6652,2024-04-07,9222
"Jones Inc","Robert Jimenez",49977,2020-01-09,49977
"Jones Inc","Ashley Robinson",40555,2020-05-29,45266
"Jones Inc","James Flores",7530,2022-03-17,32687
"Jones Inc","Matthew Baker",38552,2023-04-20,28879
"Jones Inc","Sharon Thomas",5993,2024-01-09,17358
"Jones Inc","Courtney Roberts",3097,2024-01-13,15881
"Jones Inc","Joseph Rodriguez",23680,2024-08-01,10923
Jones-Atkins,"Christopher Wilson",37970,2019-11-27,37970
Jones-Atkins,"Mark Harmon",20407,2020-06-28,29189
Jones-Atkins,"Stephanie Daniels",28108,2023-11-07,28828
Jones-Gray,"Antonio Torres",32477,2023-08-21,32477
Jones-Gray,"Brian Schmidt",13956,2023-08-23,23217
Jones-Gray,"Gabriel Douglas",42355,2024-10-17,29596
Jones-Villa,"Kyle Hale",29958,2022-06-06,29958
Jones-Villa,"Andrea Russell",4696,2023-01-03,17327
Jones-Villa,"Morgan Kelley",14900,2023-09-07,16518
"Jones, Barrera and Hines","Jennifer Wilson",24693,2020-02-06,24693
"Jones, Nelson and Jones","Jason Turner",28878,2020-08-16,28878
"Jones, Nelson and Jones","Angela Velazquez",48646,2020-10-09,38762
"Jones, Nelson and Jones","Edward Cervantes",19627,2021-09-12,32384
"Jones, Nelson and Jones","Jonathan Gallegos",37966,2021-12-11,35413
"Jones, Nelson and Jones","Rhonda Ruiz",27082,2023-08-22,28225
"Jones, Nelson and Jones","Michael Russell",17365,2023-10-07,27471
"Jones, Nelson and Jones","Sara Meyers",29738,2024-09-18,24728
"Jordan Ltd","Melissa Smith",15749,2024-08-31,15749
Joseph-Mills,"Edward Wilson",46397,2023-07-15,46397
Joseph-Mills,"Angela Novak",6261,2023-07-26,26329
Kelley-Lamb,"Carlos Roberts II",27253,2020-08-01,27253
Kelley-Lamb,"Monica Lynch",14203,2020-08-15,20728
Kelley-Lamb,"Jesse Robinson",24953,2020-08-20,22136
Kelley-Lamb,"Mrs. Pam Ramirez",5267,2021-05-23,14808
Kelley-Lamb,"Deborah Ibarra",15549,2021-10-15,15256
