lease_id,property_id,tenant_name,lease_start,lease_end,rent_amount
L00417,P0431,Lee Allen,2023-05-28,2027-03-17,44469
L00418,P0289,Shane Johnson,2022-09-03,2026-07-30,18032
L00419,P0444,Jason Harris,2023-12-16,2028-05-03,22651
L00420,P0284,Charles Bush,2022-08-11,2027-07-26,28734
L00421,P0221,Wendy Morales,2020-07-10,2026-12-11,3694
L00422,P0486,Paul Duran,2022-07-25,2027-01-24,33781
L00423,P0358,Monica Thornton,2023-10-14,2024-11-07,5172
L00424,P0337,Steven Jackson,2022-04-11,2027-06-22,35091
L00425,P0314,Rhonda Grant,2024-02-27,2026-11-22,1367
L00426,P0410,Katherine Bradley,2023-12-24,2029-01-07,21843
L00427,P0127,Scott Miller,2022-02-09,2024-11-22,47510
L00428,P0261,Laura Taylor,2024-04-19,2028-03-18,29101
L00429,P0212,Nicole Arias,2024-10-25,2025-07-21,43498
L00430,P0082,Brent Jordan,2023-08-19,2028-10-04,19272
L00431,P0234,Patrick Shaw MD,2021-08-02,2027-04-22,48422
L00432,P0239,Sean Diaz,2022-12-07,2025-01-23,11620
L00433,P0010,Aaron Ochoa,2023-09-02,2027-01-07,34678
L00434,P0386,Joseph Dominguez,2020-02-18,2026-04-27,10367
L00435,P0140,Monique Munoz,2022-10-08,2025-09-20,31783
L00436,P0353,Luke Hughes,2023-05-12,2027-08-09,33402
L00437,P0062,Adam Johnson,2021-01-23,2028-09-30,18324
L00438,P0181,April Perez,2020-08-18,2025-08-19,15513
L00439,P0206,Cathy Alexander,2020-02-02,2026-12-09,44189
L00440,P0217,Robert Schultz,2021-04-12,2025-06-28,5590
L00441,P0036,Dominic Payne,2021-06-05,2029-09-19,12408
L00442,P0096,Robert Kennedy MD,2023-08-19,2029-05-25,20973
L00443,P0434,Julia Mejia,2021-10-14,2025-06-15,44434
L00444,P0010,Michael Richardson,2021-03-16,2029-05-24,49491
L00445,P0153,Sharon Cortez,2024-05-04,2027-12-29,12820
L00446,P0170,Thomas Parrish,2021-12-07,2029-10-10,35949
L00447,P0315,Heather Mueller,2020-04-08,2027-11-10,38472
L00448,P0301,Sharon Thompson,2024-09-03,2026-09-30,45713
L00449,P0449,Matthew Orozco,2021-07-16,2025-09-09,12711
L00450,P0112,Cindy Myers,2024-01-28,2026-03-25,20251
L00451,P0448,Rebecca Hutchinson,2021-12-27,2027-03-07,48876
L00452,P0256,Heather Meyer,2020-11-05,2029-03-20,48228
L00453,P0304,Jill Howard,2021-06-12,2026-09-21,29236
L00454,P0365,Christine White,2022-01-22,2025-12-14,27597
L00455,P0240,Nicholas Cruz,2020-11-29,2029-01-02,2278
L00456,P0443,Savannah Odonnell,2021-08-27,2025-01-26,20221
L00457,P0130,Jennifer Smith,2023-05-26,2028-05-04,8455
L00458,P0045,Micheal Bonilla,2022-07-13,2027-08-25,7834
L00459,P0073,Anthony Martinez,2024-08-11,2024-12-01,25733
L00460,P0303,Walter Smith,2021-03-22,2028-06-08,19336
L00461,P0305,Joshua Rogers,2020-02-13,2029-07-18,18116
L00462,P0479,Andrew Galloway,2020-11-29,2025-04-02,14680
L00463,P0335,Dale Price,2022-09-29,2027-04-16,4400
L00464,P0008,Amy Peterson,2020-10-19,2027-12-04,10923
L00465,P0028,Kyle Brown,2023-05-20,2029-05-11,22869
L00466,P0367,Deborah Hutchinson,2022-08-26,2029-07-23,47295
L00467,P0091,Rebecca Thompson,2020-02-01,2026-10-25,2690
L00468,P0010,Angela Duncan,2021-12-23,2029-04-23,1804
L00469,P0341,Joseph Bell,2023-09-25,2026-10-27,42186
L00470,P0097,Brandy Casey,2023-05-09,2029-02-15,36578
L00471,P0032,Taylor Wood,2022-02-12,2025-02-18,16224
L00472,P0226,Michael Rogers,2020-01-21,2024-11-02,39438
L00473,P0105,Timothy Henderson,2021-10-25,2026-04-27,38782
L00474,P0191,Elizabeth Munoz,2020-11-30,2026-10-26,23027
L00475,P0356,Lawrence Alvarado,2023-10-26,2027-02-04,33555
L00476,P0044,John Brooks,2022-08-16,2028-07-09,31971
L00477,P0439,Aaron Cooley,2020-05-25,2028-02-17,40009
L00478,P0174,Stephen Alexander,2024-09-06,2029-09-14,36813
L00479,P0272,Elizabeth Brady,2024-03-17,2028-05-29,34473
L00480,P0316,Cassandra Mccarthy,2022-11-15,2026-01-22,32812
L00481,P0389,Joseph Rodriguez,2024-08-01,2027-05-27,23680
L00482,P0127,Christopher Scott,2024-06-15,2028-10-22,44468
L00483,P0034,Daniel Dickerson,2023-03-27,2029-10-07,16018
L00484,P0253,Travis Johnson,2022-07-27,2025-10-17,24653
L00485,P0170,Jason Cooke,2020-08-23,2027-02-01,10386
L00486,P0459,Tina Blankenship,2022-12-25,2026-07-11,31360
L00487,P0033,Mrs. Kristine King,2020-09-27,2025-04-28,31040
L00488,P0194,Lance Harris,2023-08-25,2029-09-06,15176
L00489,P0120,Mark Harmon,2020-06-28,2027-03-11,20407
L00490,P0178,Elaine Rodriguez,2022-10-19,2029-09-11,4952
L00491,P0330,Brian Allen DDS,2022-05-15,2028-09-04,38883
L00492,P0127,Micheal Barnes,2024-10-24,2029-06-26,49200
L00493,P0032,Jason Herrera,2024-06-26,2026-04-27,38110
L00494,P0265,Kelsey Wright,2021-06-19,2026-04-25,17982
L00495,P0196,Scott Coffey,2020-08-13,2028-09-08,27885
L00496,P0416,Allison Guerra,2024-02-14,2027-07-27,32142
L00497,P0107,Andrew Jones Jr.,2023-04-11,2027-12-01,34608
L00498,P0117,Pamela Hopkins,2020-01-04,2025-02-15,16027
L00499,P0491,Thomas Paul,2019-11-04,2029-01-10,10071
L00500,P0437,Nicole Shepherd,2022-04-19,2029-02-22,29718
L00501,P0017,Alexandria Chen,2023-01-29,2026-10-10,44384
L00502,P0417,Terrance Anderson,2022-03-23,2029-10-08,25329
L00503,P0301,Jack Stewart,2021-02-19,2029-03-10,22124
L00504,P0066,Bruce Morris,2023-11-11,2029-06-05,29759
L00505,P0213,Hannah Ryan,2020-08-07,2027-09-30,45909
L00506,P0481,Robert Jones,2023-05-14,2027-01-31,37806
L00507,P0008,Renee Robinson,2024-07-31,2024-12-27,24169
L00508,P0207,Jacob Williams,2023-10-21,2026-11-23,35133
L00509,P0384,Marie Coleman,2022-05-21,2026-02-06,24870
L00510,P0008,Jessica Christensen,2024-07-30,2027-12-09,9284
L00511,P0319,Daniel Dominguez,2023-09-23,2025-08-31,3743
L00512,P0012,Megan Dean,2019-12-10,2025-07-31,39798
L00513,P0307,Wayne Lane,2020-10-12,2027-07-16,1635
L00514,P0442,Cody Wilson,2022-08-13,2027-08-30,7658
L00515,P0101,Christian Levine,2024-10-08,2027-10-20,29447
L00516,P0474,Haley Morris,2021-05-26,2025-10-31,18376
L00517,P0141,Michael Rios,2022-02-02,2024-12-03,26730
L00518,P0447,Erika Bird,2023-03-11,2026-11-22,14353
L00519,P0091,Alexander Parker,2021-05-11,2027-06-18,17668
L00520,P0274,Steve Berger,2020-01-12,2029-01-14,8744
L00521,P0466,Austin Moreno,2021-11-15,2027-11-30,6611
L00522,P0261,Rebecca Daniels,2022-10-04,2026-03-26,28074
L00523,P0262,Nathaniel Gilmore,2022-11-08,2029-08-09,47793
L00524,P0170,Jamie Brown,2020-05-26,2025-09-24,7544
L00525,P0073,Linda Martinez,2021-12-16,2028-07-04,1219
L00526,P0449,Amber Parker,2020-06-14,2025-05-31,11270
L00527,P0373,Jose Lewis,2022-09-29,2026-01-23,24125
L00528,P0191,Annette Richardson,2021-06-24,2029-05-10,8145
L00529,P0149,Justin Wright,2020-08-26,2029-03-27,17276
L00530,P0426,William Jimenez,2023-01-29,2028-12-31,1731
L00531,P0151,Matthew Long,2021-11-30,2028-12-05,38967
L00532,P0414,Paige Gonzalez,2021-10-01,2025-07-18,31007
L00533,P0261,Natalie Warren,2024-03-07,2028-02-03,32984
L00534,P0139,Daniel Manning,2022-06-02,2028-01-30,38158
L00535,P0298,Christopher Chase,2023-02-11,2025-03-03,38448
L00536,P0112,Lisa Brown,2022-04-14,2029-08-29,40319
L00537,P0309,Mary Hartman,2020-07-26,2025-09-19,41463
L00538,P0135,Benjamin Gutierrez,2020-07-13,2027-09-22,37267
L00539,P0295,Angela Middleton,2021-08-10,2028-12-10,47768
L00540,P0497,Mr. Keith Pittman,2024-03-09,2028-05-22,40807
L00541,P0214,Regina Rodriguez,2020-07-13,2027-09-30,4185
L00542,P0249,Donald Davidson,2020-12-30,2028-04-10,31698
L00543,P0081,Ann Schneider,2023-06-21,2026-12-29,29400
L00544,P0151,Johnny Hebert,2024-03-14,2029-04-19,25908
L00545,P0354,Doris Welch,2023-04-25,2026-03-04,16992
L00546,P0139,Karen Daniels,2022-11-14,2026-06-18,29106
L00547,P0285,Katherine Jimenez,2021-08-21,2029-07-09,14963
L00548,P0072,Ashley Robinson,2020-05-29,2025-03-30,40555
L00549,P0483,Jaime Brown,2024-10-09,2027-01-10,46264
L00550,P0168,Ashley Brown,2021-01-19,2025-02-09,26407
L00551,P0259,Lisa Osborn,2021-10-21,2028-01-27,22521
L00552,P0346,Sean Williams,2023-04-09,2025-09-02,15101
L00553,P0041,Melinda Harris,2020-08-23,2025-07-20,27935
L00554,P0335,Maria Bailey,2023-09-25,2029-07-20,44744
L00555,P0282,Jessica Perez,2021-07-16,2028-06-28,26956
L00556,P0306,Lisa Martin,2022-12-04,2027-02-08,15044
L00557,P0412,Mr. Mario Ruiz,2021-05-20,2029-04-11,8211
L00558,P0233,Brittany Goodman,2024-07-26,2026-09-24,21187
L00559,P0013,Reginald James,2023-08-28,2028-05-05,6549
L00560,P0034,Lisa Burns,2023-10-11,2026-07-26,32430
L00561,P0164,Kathryn Morgan,2022-01-30,2029-02-26,41419
L00562,P0178,Jennifer Miller,2022-09-19,2026-07-20,37486
L00563,P0467,Tanner Bell,2024-07-26,2026-03-12,23652
L00564,P0435,Amber Snyder,2022-03-15,2025-03-05,16885
L00565,P0474,Alexandra Morton,2022-12-08,2026-03-21,40595
L00566,P0331,Michael Koch,2020-07-19,2027-05-04,20447
L00567,P0374,Daniel Alexander,2022-07-07,2027-01-14,37421
L00568,P0055,Whitney Young,2022-12-11,2027-03-14,2271
L00569,P0282,Monica Campbell,2023-03-01,2028-03-17,43570
L00570,P0144,Jesse Robinson,2020-08-20,2026-08-22,24953
L00571,P0151,Kara Miles,2022-10-01,2027-01-20,22583
L00572,P0405,Kyle Hale,2022-06-06,2029-06-24,29958
L00573,P0131,Janice Jacobs,2021-05-07,2029-07-27,1837
L00574,P0168,Michael Smith,2020-12-10,2028-07-11,3471
L00575,P0381,Ryan Anderson,2021-01-10,2025-01-22,44217
L00576,P0489,Craig Zimmerman,2021-02-16,2025-02-28,15784
L00577,P0222,Katie Morgan,2020-02-21,2027-03-30,25723
L00578,P0269,Roberto Hall,2020-12-10,2025-03-17,26285
L00579,P0296,Sara Fisher,2021-03-28,2029-02-14,16103
L00580,P0328,Jason Green,2023-08-25,2026-05-06,22022
L00581,P0453,Kristy Roy,2023-11-15,2026-08-10,7874
L00582,P0071,Ann Roberts,2022-10-30,2029-09-22,26055
L00583,P0472,Kim Ramirez,2020-08-12,2027-01-11,7444
L00584,P0360,Andrew Smith,2022-09-15,2026-06-16,37235
L00585,P0364,Mrs. Loretta Gibson,2022-08-14,2028-11-20,47104
L00586,P0475,Juan Hill,2024-09-29,2025-04-20,45700
L00587,P0403,Michael Tran,2024-09-26,2027-11-29,38026
L00588,P0346,Mark Stevens,2021-09-29,2026-02-07,25006
L00589,P0394,Hannah Cain,2021-03-19,2028-12-04,6457
L00590,P0460,Maria Hernandez,2020-10-31,2028-08-04,25185
L00591,P0453,Savannah Walker,2021-04-28,2028-02-17,37597
L00592,P0318,Mrs. Jessica Martin,2021-12-10,2028-08-14,16856
L00593,P0223,Steven Jennings,2023-12-11,2028-03-10,46750
L00594,P0295,Brett Mitchell,2021-03-06,2026-02-10,6066
L00595,P0354,Nicole Moore,2023-12-15,2026-12-10,49572
L00596,P0445,Brooke Reese,2024-06-14,2029-03-26,36672
L00597,P0119,Maureen Brown,2022-03-19,2028-03-31,46488
L00598,P0445,Madison Garcia,2022-12-29,2025-02-03,49494
L00599,P0094,Albert Lee DVM,2021-06-25,2026-05-06,10318
L00600,P0213,Daniel Simmons,2024-08-06,2025-04-07,8571
L00601,P0185,Ricky Gilmore,2020-02-01,2025-11-22,35259
L00602,P0264,Jason Stein,2021-04-16,2025-08-15,4130
L00603,P0245,Kristi Jones,2022-08-24,2027-12-20,29587
L00604,P0284,Tyler Velazquez,2023-12-01,2027-01-28,6089
L00605,P0305,Debra Jimenez,2024-04-25,2027-05-02,16208
L00606,P0318,Felicia Martin,2022-02-06,2026-10-25,41758
L00607,P0372,Jennifer Rodriguez,2023-06-16,2029-06-01,47671
L00608,P0411,Mark Bradshaw,2024-08-04,2025-07-28,36189
L00609,P0081,Matthew Ruiz,2023-10-01,2025-10-25,2911
L00610,P0162,Melanie Reid,2024-04-30,2029-04-23,39397
L00611,P0170,Thomas Shields,2019-11-14,2027-07-30,49974
L00612,P0402,Rhonda Hobbs,2020-04-30,2027-07-27,25172
L00613,P0432,Amanda West,2022-07-03,2027-11-14,21747
L00614,P0024,Patricia Cook,2020-12-07,2029-09-09,33973
L00615,P0133,Russell Ponce,2021-10-05,2025-06-01,15864
L00616,P0402,Jonathan Pierce,2023-06-22,2025-06-07,28314
L00617,P0332,Melinda Peterson,2024-07-10,2029-01-30,11203
L00618,P0116,Gregory Davila,2021-01-14,2025-03-25,6470
L00619,P0395,Richard Leblanc,2022-11-25,2027-10-30,10602
L00620,P0200,Jacob Pierce,2019-12-29,2026-02-02,25685
L00621,P0441,Timothy Mcbride,2022-08-06,2024-11-25,29842
L00622,P0431,Kristina Berger,2024-03-24,2026-10-08,31610
L00623,P0469,Damon King,2020-11-01,2025-12-10,5684
L00624,P0486,Michael Singh,2021-04-06,2028-12-20,36502
L00625,P0079,Anna Mann,2021-05-04,2029-04-11,16653
L00626,P0353,John Holland,2020-03-16,2029-05-01,14780
L00627,P0437,Jason Wilson,2022-05-15,2025-01-02,25102
L00628,P0416,Allison Romero,2021-10-18,2026-05-18,27620
L00629,P0251,Shelly Charles,2024-02-07,2027-06-09,46236
L00630,P0080,Michelle Pitts,2021-05-28,2027-09-25,28814
L00631,P0412,Tyler Church,2022-07-28,2025-07-09,48552
L00632,P0140,Jeremy Lewis,2021-04-15,2028-03-19,40392
L00633,P0443,Larry Schwartz,2024-02-05,2025-08-24,12835
L00634,P0305,Michael Espinoza,2020-08-18,2027-07-18,4310
L00635,P0194,Samantha Cruz,2023-09-02,2029-04-30,9270
L00636,P0154,Vanessa Montes,2023-04-14,2025-05-24,18077
L00637,P0499,Kathryn Garrison,2020-03-16,2026-09-13,46669
L00638,P0168,Gavin Thompson,2020-09-02,2029-08-29,36743
L00639,P0458,Roger Bradford,2023-08-18,2026-04-11,39530
L00640,P0046,Tiffany Beard,2023-07-19,2028-02-04,36695
L00641,P0490,Raymond Brown,2022-02-14,2029-09-13,27844
L00642,P0418,Andrew Williams,2023-11-18,2027-10-22,19311
L00643,P0333,Richard Allen,2023-06-24,2028-11-03,5420
L00644,P0346,Ryan Glover,2022-07-22,2027-12-19,38023
L00645,P0253,Gina Bell,2020-04-16,2028-05-04,3132
L00646,P0211,Patricia Mason DDS,2024-09-28,2026-12-06,7588
L00647,P0070,Andrea Daniel,2023-08-16,2025-04-21,46409
L00648,P0025,Tracy Rogers,2021-06-26,2025-08-27,15634
L00649,P0491,Barry Patton,2024-05-27,2028-12-24,26691
L00650,P0416,Timothy Jensen,2021-07-19,2029-01-22,27443
L00651,P0439,Brittney Bowman,2021-07-14,2026-01-09,7563
L00652,P0104,Chad Gonzalez,2020-05-27,2028-04-06,3417
L00653,P0271,Jeff Bentley,2023-10-27,2028-04-22,33803
L00654,P0068,Eric Alvarez,2020-05-23,2026-06-19,37492
L00655,P0430,Yolanda Taylor,2020-02-10,2029-01-04,21573
L00656,P0164,Christopher Mccarthy,2024-05-08,2025-12-23,7006
L00657,P0119,Kevin Wagner,2020-09-09,2028-04-05,3286
L00658,P0101,Cynthia Obrien,2020-03-13,2026-01-17,25403
L00659,P0394,Susan Wise,2021-01-15,2028-08-21,26614
L00660,P0487,Greg Crawford,2021-05-20,2028-07-14,11301
L00661,P0323,Casey Preston,2023-11-30,2027-05-14,32188
L00662,P0024,Deanna Dunn,2023-06-10,2029-05-17,48860
L00663,P0128,Michael Rodriguez,2024-08-30,2025-11-11,4737
L00664,P0476,Kevin Conrad,2020-07-31,2029-09-09,7744
L00665,P0242,Kimberly Gay,2020-04-22,2027-12-18,22599
L00666,P0479,Charles Murphy,2022-06-03,2027-10-30,36983
L00667,P0224,Barry Sanchez,2024-04-15,2025-12-18,8154
L00668,P0153,Jeffrey Jones,2023-04-15,2024-12-23,44746
L00669,P0388,John Ortiz,2020-12-11,2025-04-09,14793
L00670,P0360,James Williams,2019-11-30,2025-03-25,39274
L00671,P0151,Sarah Guerra,2021-02-05,2027-08-26,27843
L00672,P0316,Kristina Fisher,2020-03-21,2027-01-04,5544
L00673,P0470,Brandon Cameron,2024-09-30,2027-09-27,49679
L00674,P0107,Joshua Silva,2021-02-11,2025-01-04,24845
L00675,P0224,Shelby Wells,2020-08-06,2028-01-01,16128
L00676,P0018,Amanda Moyer,2022-10-15,2028-09-22,31423
L00677,P0240,Jacqueline Garza,2021-09-08,2027-12-30,41726
L00678,P0369,Edward Shaw,2023-04-15,2025-04-15,40008
L00679,P0007,Jeffrey Hill,2020-09-01,2029-06-13,34332
L00680,P0148,Jacqueline Blackburn,2024-02-05,2026-01-14,43407
L00681,P0179,Carl Johnson,2020-10-14,2026-01-22,19936
L00682,P0483,Ann Zamora,2024-01-26,2025-11-15,22452
L00683,P0134,Kevin Mitchell,2019-11-07,2029-03-04,6263
L00684,P0265,Brenda Vang,2022-03-29,2027-11-09,9894
L00685,P0388,Mallory Brown,2022-06-17,2027-01-08,6597
L00686,P0146,Joyce Walker,2020-02-25,2029-09-22,37818
L00687,P0266,Megan Cherry,2023-06-07,2025-11-11,23603
L00688,P0252,Richard Lambert,2022-04-16,2025-08-28,11311
L00689,P0048,Elizabeth Harvey,2022-12-24,2027-04-23,45987
L00690,P0217,Derrick Walsh,2019-12-26,2025-02-17,6598
L00691,P0340,Mckenzie Brown,2023-06-03,2026-10-27,14468
L00692,P0043,Andrew Sims,2024-08-26,2026-10-16,48845
L00693,P0260,Donna Williams,2021-07-11,2028-06-01,48027
L00694,P0392,Mckenzie Lopez,2024-02-24,2027-10-09,17851
L00695,P0236,Katherine Fuentes,2022-01-23,2026-07-15,21372
L00696,P0308,Ronald Boyd,2023-11-30,2028-04-23,39507
L00697,P0191,Anna Cox,2021-12-13,2028-03-27,12047
L00698,P0349,Matthew Pope,2024-01-16,2026-07-05,9805
L00699,P0398,Karen Hensley,2022-05-20,2025-02-27,9401
L00700,P0446,Jill Miller,2020-02-26,2025-09-09,2970
L00701,P0082,Miguel Rivera,2022-07-04,2029-07-30,43755
L00702,P0238,Ronald Ruiz,2019-12-02,2028-09-25,11371
L00703,P0415,Misty Fisher,2020-02-04,2025-10-28,9517
L00704,P0166,Micheal Blackburn,2023-09-11,2025-01-26,29971
L00705,P0068,Kayla Horton,2023-02-07,2029-10-10,47601
L00706,P0022,Maria Conner,2023-03-30,2027-10-07,22917
L00707,P0230,Nicole Mullins,2022-08-31,2027-03-18,20747
L00708,P0443,Ricardo Pennington,2023-12-25,2026-12-17,2699
L00709,P0330,James Reynolds,2021-02-26,2025-05-30,24414
L00710,P0180,Sandra Smith,2020-10-31,2025-12-19,37913
L00711,P0179,Aaron Martin,2022-08-25,2029-06-22,24860
L00712,P0272,Timothy Torres,2020-09-03,2029-01-07,30695
L00713,P0213,Daniel Buckley,2020-11-02,2028-07-19,40876
L00714,P0445,Matthew Norton,2020-02-10,2028-12-19,48736
L00715,P0060,Michelle Foley,2020-01-31,2026-10-29,6747
L00716,P0095,Krista Sandoval,2021-01-29,2027-03-14,44436
L00717,P0056,Keith Smith,2021-02-25,2029-05-17,14115
L00718,P0405,Andrea Russell,2023-01-03,2029-06-23,4696
L00719,P0395,Angela Scott,2020-11-25,2025-01-22,6406
L00720,P0189,Dean Davis,2021-11-14,2026-04-25,43637
L00721,P0204,Charles Trujillo,2023-03-10,2027-08-25,28591
L00722,P0218,Diane French,2021-01-10,2029-03-08,34735
L00723,P0270,Martin Thompson,2023-01-04,2027-08-10,23474
L00724,P0340,Amanda Rojas,2021-11-19,2025-08-30,48992
L00725,P0260,Samuel Hammond,2023-11-09,2025-07-22,27805
L00726,P0319,Patty Anderson,2023-04-28,2029-05-18,37019
L00727,P0418,Tracy Carey,2021-10-15,2029-03-31,44896
L00728,P0181,James Jones,2021-12-07,2025-10-23,31444
L00729,P0138,Oscar Fox,2023-07-29,2029-08-11,28933
L00730,P0448,Donna Livingston,2022-07-20,2026-10-02,7293
L00731,P0199,Emily Scott,2024-09-15,2027-03-20,10621
L00732,P0267,Marcus Salinas,2023-06-10,2027-01-23,21273
L00733,P0487,Jessica Lopez,2021-12-05,2025-02-15,36325
L00734,P0389,Sharon Thomas,2024-01-09,2028-05-06,5993
L00735,P0044,Katherine Simmons,2023-03-01,2025-07-27,42883
L00736,P0156,Sean Hernandez,2022-12-17,2029-05-30,37706
L00737,P0386,Bryan Spears DVM,2024-07-30,2029-09-06,12634
L00738,P0129,Lauren Hall,2020-11-15,2027-06-17,11612
L00739,P0377,Vanessa Compton,2020-11-04,2025-04-12,10860
L00740,P0220,Leah Stout,2023-11-08,2029-01-04,9641
L00741,P0245,Nicholas Price,2024-06-21,2027-03-28,46510
L00742,P0308,Molly Velazquez,2019-12-15,2026-01-21,39062
L00743,P0232,Jason Lynch,2021-03-09,2028-10-11,32018
L00744,P0180,William Maxwell,2024-04-01,2028-10-04,39215
L00745,P0365,Michael Mclaughlin,2023-04-17,2027-12-04,9649
L00746,P0457,Randall Lewis,2023-09-02,2027-04-17,21709
L00747,P0311,Joseph Yoder,2020-10-16,2028-04-19,5556
L00748,P0299,Christopher Cook,2020-05-11,2028-05-15,42817
L00749,P0174,Ryan Molina,2023-06-13,2024-11-13,4927
L00750,P0179,Thomas Adams,2022-08-30,2028-09-22,4935
L00751,P0363,Jeffrey Gibson,2024-08-03,2028-02-13,19976
L00752,P0005,Dale Smith,2022-08-31,2027-12-04,23954
L00753,P0081,Mitchell Bailey DDS,2020-11-10,2026-10-19,49576
L00754,P0019,Christine Washington,2024-07-20,2025-05-28,18446
L00755,P0177,Mark Wagner,2024-10-21,2027-10-25,43382
L00756,P0006,Clayton Kelly,2020-01-08,2027-06-09,14262
L00757,P0380,Benjamin Hudson,2024-02-16,2025-08-18,42562
L00758,P0310,Michael Wilson,2023-04-28,2025-02-07,34535
L00759,P0034,Kirsten Jimenez,2023-09-10,2029-04-04,43191
L00760,P0075,Jeffrey Vazquez,2021-05-30,2028-10-24,18478
L00761,P0036,Stephanie Nunez,2024-07-20,2026-07-15,36378
L00762,P0266,William Watson,2019-12-09,2026-05-01,4912
L00763,P0359,Melissa Lee,2021-06-21,2025-06-28,14008
L00764,P0287,Marissa Daniels,2022-08-01,2028-04-08,41980
L00765,P0113,Mr. Steven Rosales MD,2022-04-21,2028-01-03,39078
L00766,P0204,Jennifer Perez,2021-03-03,2028-07-07,39423
L00767,P0374,Donald Parker,2020-07-16,2024-12-20,33295
L00768,P0382,Scott Mann,2024-05-13,2027-01-29,31971
L00769,P0145,Jessica Hartman,2020-05-25,2026-02-04,38258
L00770,P0161,Brittney Johnson PhD,2023-08-04,2026-07-08,7959
L00771,P0054,Katherine Young,2020-11-03,2026-08-06,32735
L00772,P0353,Thomas Rangel,2020-06-10,2028-05-26,1859
L00773,P0107,Larry Allen,2024-07-18,2027-01-29,48960
L00774,P0375,Elizabeth Fischer,2024-06-06,2027-01-05,12762
L00775,P0486,Erika Rodriguez,2022-11-24,2026-01-03,32003
L00776,P0069,Dylan Butler,2023-11-24,2025-11-20,38341
L00777,P0177,Justin Wilson,2020-06-26,2025-05-15,40599
L00778,P0402,Troy Case,2021-04-04,2025-03-25,16426
L00779,P0305,Joshua Davis,2021-10-09,2025-10-26,34633
L00780,P0418,Brent James,2020-01-13,2026-03-25,9814
L00781,P0201,Adrian Young,2023-07-26,2029-09-27,9785
L00782,P0232,Amy Smith,2020-04-10,2027-07-12,41787
L00783,P0327,Michael Higgins,2022-10-04,2028-04-26,43754
L00784,P0123,Kevin Baker,2022-10-28,2025-01-28,15885
L00785,P0320,Kelsey Quinn,2020-10-22,2026-06-18,45900
L00786,P0224,Max Mcdonald,2022-08-14,2029-07-24,20614
L00787,P0082,Brad Serrano,2024-05-04,2027-08-05,14553
L00788,P0422,Jonathan Gardner,2020-04-28,2028-11-29,7999
L00789,P0302,Nathan Diaz,2024-09-26,2027-03-18,28769
L00790,P0064,Michael Miles,2024-08-31,2026-02-28,19797
L00791,P0138,Colin Yang,2023-03-08,2028-04-25,23313
L00792,P0004,Emily Mendez,2022-06-16,2027-08-15,13371
L00793,P0272,Robert Chavez,2021-07-30,2027-06-28,44781
L00794,P0088,Debbie Hill,2023-02-16,2029-06-24,23032
L00795,P0490,Christian Bautista,2020-03-06,2028-12-07,42284
L00796,P0445,Katherine Davis,2021-09-17,2027-10-10,21162
L00797,P0500,Rebecca Martinez,2020-08-03,2028-12-02,23897
L00798,P0087,Matthew Smith,2020-05-16,2026-09-14,21236
L00799,P0304,Julie Jones,2021-12-07,2028-06-27,49131
L00800,P0110,Isabella Brown,2022-06-12,2025-07-05,15519
L00801,P0247,Kurt Dunn,2022-08-24,2027-08-10,18990
L00802,P0220,Diana Lawrence,2024-01-22,2024-11-28,20892
L00803,P0293,Felicia Perez,2023-08-18,2027-01-22,31528
L00804,P0377,Michael Parsons,2024-08-05,2025-05-20,35685
L00805,P0417,Maxwell Parker,2022-12-14,2028-11-01,17613
L00806,P0014,Benjamin Shaw,2022-03-03,2029-04-20,22948
L00807,P0095,Nathaniel Mcmahon,2023-02-23,2029-09-04,23338
L00808,P0149,Eric Chavez,2019-11-19,2026-06-28,23279
L00809,P0132,Sabrina Ramos,2021-11-25,2028-01-21,15718
L00810,P0392,Timothy Jackson,2023-03-31,2028-06-03,43433
L00811,P0452,Emma Garcia,2022-11-15,2028-11-20,33485
L00812,P0124,Bonnie Anderson,2023-10-18,2025-04-28,15744
L00813,P0121,Tony Butler,2020-03-26,2025-03-02,29747
L00814,P0052,Patrick Daniels,2021-04-12,2025-09-25,6487
L00815,P0314,Ashley Jackson,2023-09-29,2026-10-11,22670
L00816,P0161,Jessica Martin,2021-05-10,2028-10-23,41040
L00817,P0122,Eric Ortega,2022-01-18,2028-01-17,2682
L00818,P0346,Miranda Washington,2021-12-15,2026-02-22,47763
L00819,P0442,Roger Brown,2020-12-18,2029-05-25,48417
L00820,P0121,Heather Meyer,2022-01-17,2028-05-20,38980
L00821,P0023,Terry Hill,2020-10-25,2029-05-19,23062
L00822,P0231,Mr. Michael Green,2022-04-05,2027-06-14,49032
L00823,P0122,Kelly Sutton,2024-02-10,2028-03-16,23310
L00824,P0429,Lauren Obrien,2020-09-13,2027-07-27,31779
L00825,P0156,Lisa Terrell,2023-12-21,2028-12-03,12877
L00826,P0445,David Cooper,2021-09-22,2026-10-15,32559
L00827,P0345,Eric Robertson,2023-01-29,2026-01-20,21294
L00828,P0061,Kerry Jacobs,2022-01-18,2026-01-09,27165
L00829,P0108,Thomas French,2023-12-19,2027-10-13,28312
L00830,P0302,David Brown,2022-10-12,2026-08-31,16789
L00831,P0236,Joshua Obrien,2020-04-14,2027-10-09,45711
L00832,P0096,Sean Shepherd,2021-01-06,2028-01-13,15682
